timestamp,sensor_distance,sensor_accel,sensor_photo,sensor_light,from_room,to_room,event_label,count_K,count_E,count_I,count_O
2026-04-23T22:54:36,251,307,309,303,,,passage_only,0,0,0,0
2026-04-23T22:54:36,240,308,305,304,,,idle,0,0,0,0
2026-04-23T22:54:36,239,308,301,283,,,idle,0,0,0,0
2026-04-23T22:54:36,251,308,294,250,,,idle,0,0,0,0
2026-04-23T22:54:36,243,308,292,237,,,idle,0,0,0,0
2026-04-23T22:54:36,246,308,297,247,,,idle,0,0,0,0
2026-04-23T22:54:36,243,308,301,264,,,idle,0,0,0,0
2026-04-23T22:54:36,251,307,309,303,,,idle,0,0,0,0
2026-04-23T22:54:36,246,308,327,372,,,idle,0,0,0,0
2026-04-23T22:54:36,258,309,321,363,,,idle,0,0,0,0
2026-04-23T22:54:36,246,309,319,365,,,idle,0,0,0,0
2026-04-23T22:54:36,247,308,318,359,,,idle,0,0,0,0
2026-04-23T22:54:36,250,309,314,348,,,idle,0,0,0,0
2026-04-23T22:54:36,243,308,309,326,,,idle,0,0,0,0
2026-04-23T22:54:36,242,308,306,313,,,idle,0,0,0,0
2026-04-23T22:54:36,246,308,304,304,,,idle,0,0,0,0
2026-04-23T22:54:36,246,308,299,276,,,idle,0,0,0,0
2026-04-23T22:54:36,247,307,293,245,,,idle,0,0,0,0
2026-04-23T22:54:36,235,308,293,238,,,idle,0,0,0,0
2026-04-23T22:54:37,242,308,298,251,,,idle,0,0,0,0
2026-04-23T22:54:37,246,307,303,274,,,idle,0,0,0,0
2026-04-23T22:54:37,246,308,312,316,,,idle,0,0,0,0
2026-04-23T22:54:37,242,308,319,353,,,idle,0,0,0,0
2026-04-23T22:54:37,238,309,318,354,,,idle,0,0,0,0
2026-04-23T22:54:37,233,308,317,355,,,idle,0,0,0,0
2026-04-23T22:54:37,234,308,318,359,,,idle,0,0,0,0
2026-04-23T22:54:37,247,308,315,350,,,idle,0,0,0,0
2026-04-23T22:54:37,250,308,311,336,,,idle,0,0,0,0
2026-04-23T22:54:37,251,307,306,316,,,idle,0,0,0,0
2026-04-23T22:54:37,240,309,304,306,,,idle,0,0,0,0
2026-04-23T22:54:38,238,308,302,289,,,idle,0,0,0,0
2026-04-23T22:54:38,241,308,295,255,,,idle,0,0,0,0
2026-04-23T22:54:38,250,308,291,235,,,idle,0,0,0,0
2026-04-23T22:54:38,238,309,295,244,,,idle,0,0,0,0
2026-04-23T22:54:38,238,308,300,259,,,idle,0,0,0,0
2026-04-23T22:54:38,250,308,309,298,,,idle,0,0,0,0
2026-04-23T22:54:38,242,308,318,340,,,idle,0,0,0,0
2026-04-23T22:54:38,247,307,319,355,,,idle,0,0,0,0
2026-04-23T22:54:38,243,308,316,351,,,idle,0,0,0,0
2026-04-23T22:54:38,244,309,318,360,,,idle,0,0,0,0
2026-04-23T22:54:39,243,308,316,352,,,idle,0,0,0,0
2026-04-23T22:54:39,243,307,313,344,,,idle,0,0,0,0
2026-04-23T22:54:39,247,307,307,322,,,idle,0,0,0,0
2026-04-23T22:54:39,242,308,305,310,,,idle,0,0,0,0
2026-04-23T22:54:39,242,307,303,302,,,idle,0,0,0,0
2026-04-23T22:54:39,254,308,297,268,,,idle,0,0,0,0
2026-04-23T22:54:39,245,308,291,239,,,idle,0,0,0,0
2026-04-23T22:54:39,234,308,293,239,,,idle,0,0,0,0
2026-04-23T22:54:39,246,308,298,254,,,idle,0,0,0,0
2026-04-23T22:54:39,243,307,304,282,,,idle,0,0,0,0
2026-04-23T22:54:40,251,308,315,327,,,idle,0,0,0,0
2026-04-23T22:54:40,246,308,320,353,,,idle,0,0,0,0
2026-04-23T22:54:40,235,308,318,352,,,idle,0,0,0,0
2026-04-23T22:54:40,242,308,318,355,,,idle,0,0,0,0
2026-04-23T22:54:40,239,308,317,356,,,idle,0,0,0,0
2026-04-23T22:54:40,252,307,313,345,,,idle,0,0,0,0
2026-04-23T22:54:40,243,308,309,326,,,idle,0,0,0,0
2026-04-23T22:54:40,242,308,306,312,,,idle,0,0,0,0
2026-04-23T22:54:40,250,308,304,303,,,idle,0,0,0,0
2026-04-23T22:54:40,250,307,299,280,,,idle,0,0,0,0
2026-04-23T22:54:41,250,308,293,248,,,idle,0,0,0,0
2026-04-23T22:54:41,246,308,292,238,,,idle,0,0,0,0
2026-04-23T22:54:41,234,308,297,250,,,idle,0,0,0,0
2026-04-23T22:54:41,249,307,302,271,,,idle,0,0,0,0
2026-04-23T22:54:41,242,309,311,312,,,idle,0,0,0,0
2026-04-23T22:54:41,254,309,320,352,,,idle,0,0,0,0
2026-04-23T22:54:41,250,308,318,354,,,idle,0,0,0,0
2026-04-23T22:54:41,246,308,316,354,,,idle,0,0,0,0
2026-04-23T22:54:41,243,308,317,359,,,idle,0,0,0,0
2026-04-23T22:54:41,242,308,314,350,,,idle,0,0,0,0
2026-04-23T22:54:42,241,308,312,338,,,idle,0,0,0,0
2026-04-23T22:54:42,242,308,307,317,,,idle,0,0,0,0
2026-04-23T22:54:42,246,308,305,306,,,idle,0,0,0,0
2026-04-23T22:54:42,246,308,302,292,,,idle,0,0,0,0
2026-04-23T22:54:42,246,307,295,258,,,idle,0,0,0,0
2026-04-23T22:54:42,246,308,291,236,,,idle,0,0,0,0
2026-04-23T22:54:42,243,307,295,244,,,idle,0,0,0,0
2026-04-23T22:54:42,246,308,300,259,,,idle,0,0,0,0
2026-04-23T22:54:42,243,308,308,296,,,idle,0,0,0,0
2026-04-23T22:54:42,247,308,317,338,,,idle,0,0,0,0
2026-04-23T22:54:43,245,308,319,353,,,idle,0,0,0,0
2026-04-23T22:54:43,247,308,317,350,,,idle,0,0,0,0
2026-04-23T22:54:43,242,309,317,358,,,idle,0,0,0,0
2026-04-23T22:54:43,250,307,316,353,,,idle,0,0,0,0
2026-04-23T22:54:43,242,308,313,343,,,idle,0,0,0,0
2026-04-23T22:54:43,241,308,308,323,,,idle,0,0,0,0
2026-04-23T22:54:43,239,308,305,310,,,idle,0,0,0,0
2026-04-23T22:54:43,242,307,304,302,,,idle,0,0,0,0
2026-04-23T22:54:43,246,308,297,273,,,idle,0,0,0,0
2026-04-23T22:54:43,251,307,292,243,,,idle,0,0,0,0
2026-04-23T22:54:44,238,308,293,240,,,idle,0,0,0,0
